Event{eventType='click', uid='3eedb6e5-1fbb-49a9-8336-b61b4b016185', timestamp=1592848180, ip='47.254.104.55', impressionId='f7ce8fb8-11f6-4e97-8f98-8f861130182d'}
Event{eventType='click', uid='1c231f54-e7b1-4a54-bac7-f70089a5898d', timestamp=1592848181, ip='112.184.67.19', impressionId='a37b68c5-5be1-4f4f-abce-380930d23d03'}
Event{eventType='click', uid='dbab38b4-a2f3-47a9-843d-98ff62cb28cd15', timestamp=1592848184, ip='238.186.83.58', impressionId='a665f58b-ebfa-474b-a610-242c1d6dcc48'}
Event{eventType='click', uid='6618a825-4539-4be9-8143-8e2ddc9fe0f716', timestamp=1592848184, ip='238.186.83.58', impressionId='cbaf228e-9edb-4a1e-b4f5-92fde0643da4'}
Event{eventType='click', uid='06fab9c3-c83a-4cf7-8b57-fbbca016981b', timestamp=1592848184, ip='92.84.227.37', impressionId='357775c9-8677-42ad-bb4a-f7c583e32759'}
Event{eventType='click', uid='8152ff67-ed24-4847-a440-0dc658d412ef', timestamp=1592848184, ip='126.146.219.0', impressionId='14e1feff-7e64-4e8c-ac99-d583e06bd990'}
Event{eventType='click', uid='06fab9c3-c83a-4cf7-8b57-fbbca016981b', timestamp=1592848186, ip='178.39.21.18', impressionId='9ad61a65-3b1a-4e94-a22b-911746094051'}
Event{eventType='click', uid='644f6338-b777-42aa-8bb6-c7778d9be736', timestamp=1592848188, ip='179.104.119.224', impressionId='ea985358-b639-4ea2-9b4d-fb7418e3d34c'}
Event{eventType='click', uid='8fe30ee3-67fd-429f-84b3-62de6b47119b', timestamp=1592848189, ip='226.10.112.196', impressionId='f444580c-b5b1-491d-b68d-f952a3f5d83c'}
Event{eventType='click', uid='f50c3d1f-0e3d-43a7-bef2-7d8d22d35929', timestamp=1592848190, ip='110.114.217.12', impressionId='d7b8774c-b1e8-4196-ae95-131b0d5385a8'}
Event{eventType='click', uid='c46fef61-c637-445b-bfd4-71f4c344a8a2', timestamp=1592848190, ip='29.235.138.160', impressionId='91018f0d-3821-4a73-ad71-7e42a4a01494'}
Event{eventType='click', uid='94bc0087-2328-4e14-b1e4-545cef0d3495', timestamp=1592848191, ip='162.111.54.141', impressionId='e3ae6ae3-88d4-4063-b396-017fb8b051a5'}
Event{eventType='click', uid='5666ba39-77d7-41da-a751-964db5f0636a', timestamp=1592848193, ip='193.183.194.106', impressionId='c314a81c-784a-4e0d-909d-860981ae8b05'}
Event{eventType='click', uid='1c231f54-e7b1-4a54-bac7-f70089a5898d', timestamp=1592848180, ip='148.96.101.239', impressionId='ffbce26a-da7e-440d-809b-012c342afff0'}
Event{eventType='click', uid='b9d9e00b-4fb7-44ce-a1bc-687aa0ef0621', timestamp=1592848181, ip='138.44.91.145', impressionId='7213349c-434e-49c3-abe2-f42dcb8f5ee1'}
Event{eventType='click', uid='3dd045e2-e245-4ab1-81d5-3bb47c02cdf8', timestamp=1592848182, ip='136.2.209.187', impressionId='ce9c6685-fcbe-4e90-ae6e-e3147a7bfc17'}
Event{eventType='click', uid='c6a1e282-ee09-429f-a1c1-3b883248b317', timestamp=1592848183, ip='184.60.101.11', impressionId='e8241878-aa57-4f4a-acd8-840573642171'}
Event{eventType='click', uid='2b1e9c71-3d66-4210-aa2f-765334c40bcd', timestamp=1592848183, ip='135.112.101.207', impressionId='6e4bfb29-eba9-4714-8b88-54aa7167b124'}
Event{eventType='click', uid='4ba35f58-d159-43e0-8c9e-e50daefb289511', timestamp=1592848184, ip='238.186.83.58', impressionId='2819672b-d488-43c9-bf25-0d85738ae0fd'}
Event{eventType='click', uid='f63289d0-1027-4165-b3c3-c3c7a32bc24d12', timestamp=1592848184, ip='238.186.83.58', impressionId='3d363061-82cd-4120-941d-4ed22a5287ce'}
Event{eventType='click', uid='bb4482b1-a3a2-4697-b6ac-d1db0f0ff18d13', timestamp=1592848184, ip='238.186.83.58', impressionId='964b2221-aa1d-4398-9702-fd7562787ac5'}
Event{eventType='click', uid='69f74a61-b948-4842-ae90-d004a1bbd008', timestamp=1592848184, ip='216.195.7.156', impressionId='03924a6d-76ad-4b02-8db0-caaf6cc9609c'}
Event{eventType='click', uid='3dd045e2-e245-4ab1-81d5-3bb47c02cdf8', timestamp=1592848187, ip='28.139.225.237', impressionId='8d52bb7b-0159-45a9-99e4-2645184150f9'}
Event{eventType='click', uid='3132c2b7-d78c-4eea-9df5-9a9d61bc0e99', timestamp=1592848190, ip='67.146.161.108', impressionId='22a152c4-eacc-4d82-bf7d-488aa24b20e0'}
Event{eventType='click', uid='24c16864-c43b-400e-956a-2dc21817a852', timestamp=1592848191, ip='252.252.179.69', impressionId='8c0bf9b3-9850-49bd-bd54-ecf6cadfcdd0'}
